项目链接,项目名称,高亮词
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,DeepSeek-Prover
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,DeepSeek-Prover-V1
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,定理证明
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,Lean-4证明
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,形式定理证明
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,数学竞赛问题证明
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,合成数据集
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,miniF2F测试
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,deepseek-ai/DeepSeek-V2.5,DeepSeek-V2.5
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,deepseek-ai/DeepSeek-V2.5,智能对话
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,deepseek-ai/DeepSeek-V2.5,编程助手
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,deepseek-ai/DeepSeek-V2.5,AI写作
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,deepseek-ai/DeepSeek-V2.5,指令遵循
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,deepseek-ai/DeepSeek-V2.5,Transformer
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,deepseek-ai/DeepSeek-V2.5,本地部署
https://ai.gitcode.com/hf_mirrors/deepseek-ai/JanusFlow-1.3B,deepseek-ai/JanusFlow-1.3B,JanusFlow
https://ai.gitcode.com/hf_mirrors/deepseek-ai/JanusFlow-1.3B,deepseek-ai/JanusFlow-1.3B,文生图
https://ai.gitcode.com/hf_mirrors/deepseek-ai/JanusFlow-1.3B,deepseek-ai/JanusFlow-1.3B,多模态
https://ai.gitcode.com/hf_mirrors/deepseek-ai/JanusFlow-1.3B,deepseek-ai/JanusFlow-1.3B,自回归模型
https://ai.gitcode.com/hf_mirrors/deepseek-ai/JanusFlow-1.3B,deepseek-ai/JanusFlow-1.3B,修正流
https://ai.gitcode.com/hf_mirrors/deepseek-ai/JanusFlow-1.3B,deepseek-ai/JanusFlow-1.3B,1.3B参数
https://ai.gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,Janus-Pro
https://ai.gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,7B参数
https://ai.gitcode.com/hf_mirrors/Kwaipilot/KwaiCoder-AutoThink-preview,Kwaipilot/KwaiCoder-AutoThink-preview,KwaiCoder
https://ai.gitcode.com/hf_mirrors/Kwaipilot/KwaiCoder-AutoThink-preview,Kwaipilot/KwaiCoder-AutoThink-preview,AutoThink
https://ai.gitcode.com/hf_mirrors/Kwaipilot/KwaiCoder-AutoThink-preview,Kwaipilot/KwaiCoder-AutoThink-preview,分步序列强化学习
https://ai.gitcode.com/hf_mirrors/Kwaipilot/KwaiCoder-AutoThink-preview,Kwaipilot/KwaiCoder-AutoThink-preview,智能体数据生成
https://ai.gitcode.com/hf_mirrors/Kwaipilot/KwaiCoder-AutoThink-preview,Kwaipilot/KwaiCoder-AutoThink-preview,知识蒸馏
https://ai.gitcode.com/hf_mirrors/Kwaipilot/KwaiCoder-AutoThink-preview,Kwaipilot/KwaiCoder-AutoThink-preview,多语言模型
https://ai.gitcode.com/hf_mirrors/QuantStack/Wan2.2-T2V-A14B-GGUF,QuantStack/Wan2.2-T2V-A14B-GGUF,Wan2.2-T2V-A14B
https://ai.gitcode.com/hf_mirrors/QuantStack/Wan2.2-T2V-A14B-GGUF,QuantStack/Wan2.2-T2V-A14B-GGUF,Text-to-Video
https://ai.gitcode.com/hf_mirrors/QuantStack/Wan2.2-T2V-A14B-GGUF,QuantStack/Wan2.2-T2V-A14B-GGUF,ComfyUI
https://ai.gitcode.com/hf_mirrors/QuantStack/Wan2.2-T2V-A14B-GGUF,QuantStack/Wan2.2-T2V-A14B-GGUF,量化模型
https://ai.gitcode.com/hf_mirrors/QuantStack/Wan2.2-T2V-A14B-GGUF,QuantStack/Wan2.2-T2V-A14B-GGUF,GGUF
https://ai.gitcode.com/hf_mirrors/microsoft/deberta-v3-large,microsoft/deberta-v3-large,deberta-v3
https://ai.gitcode.com/hf_mirrors/microsoft/deberta-v3-large,microsoft/deberta-v3-large,deberta-v3-large
https://ai.gitcode.com/hf_mirrors/microsoft/deberta-v3-large,microsoft/deberta-v3-large,自然语言理解
https://ai.gitcode.com/hf_mirrors/microsoft/deberta-v3-large,microsoft/deberta-v3-large,fill-mask
https://ai.gitcode.com/hf_mirrors/microsoft/deberta-v3-large,microsoft/deberta-v3-large,解耦注意力机制
https://ai.gitcode.com/hf_mirrors/microsoft/deberta-v3-large,microsoft/deberta-v3-large,梯度解耦嵌入共享
https://ai.gitcode.com/hf_mirrors/microsoft/deberta-v3-large,microsoft/deberta-v3-large,Transformers
https://ai.gitcode.com/hf_mirrors/microsoft/deberta-v3-large,microsoft/deberta-v3-large,PyTorch
https://ai.gitcode.com/hf_mirrors/openai/whisper-tiny.en,openai/whisper-tiny.en,Whisper-tiny.en
https://ai.gitcode.com/hf_mirrors/openai/whisper-tiny.en,openai/whisper-tiny.en,语音识别
https://ai.gitcode.com/hf_mirrors/openai/whisper-tiny.en,openai/whisper-tiny.en,HuggingFace
https://ai.gitcode.com/hf_mirrors/openai/whisper-tiny.en,openai/whisper-tiny.en,英文语音识别
https://ai.gitcode.com/hf_mirrors/openai/whisper-tiny.en,openai/whisper-tiny.en,轻量级语音模型
https://ai.gitcode.com/hf_mirrors/openai/whisper-tiny.en,openai/whisper-tiny.en,ASR模型
https://ai.gitcode.com/hf_mirrors/gilf/french-camembert-postag-model,gilf/french-camembert-postag-model,French-Camembert
https://ai.gitcode.com/hf_mirrors/gilf/french-camembert-postag-model,gilf/french-camembert-postag-model,法语词性标注
https://ai.gitcode.com/hf_mirrors/gilf/french-camembert-postag-model,gilf/french-camembert-postag-model,POS标注
https://ai.gitcode.com/hf_mirrors/gilf/french-camembert-postag-model,gilf/french-camembert-postag-model,Safetensors
https://ai.gitcode.com/hf_mirrors/dandelin/vilt-b32-finetuned-vqa,dandelin/vilt-b32-finetuned-vqa,ViLT
https://ai.gitcode.com/hf_mirrors/dandelin/vilt-b32-finetuned-vqa,dandelin/vilt-b32-finetuned-vqa,视觉问答
https://ai.gitcode.com/hf_mirrors/keras-io/TF_Decision_Trees,keras-io/TF_Decision_Trees,TFDecisionTrees
https://ai.gitcode.com/hf_mirrors/keras-io/TF_Decision_Trees,keras-io/TF_Decision_Trees,TensorFlow
https://ai.gitcode.com/hf_mirrors/keras-io/TF_Decision_Trees,keras-io/TF_Decision_Trees,Keras
https://ai.gitcode.com/hf_mirrors/keras-io/TF_Decision_Trees,keras-io/TF_Decision_Trees,结构化数据分类
https://ai.gitcode.com/hf_mirrors/keras-io/TF_Decision_Trees,keras-io/TF_Decision_Trees,决策森林模型
https://ai.gitcode.com/hf_mirrors/autogluon/tabpfn-mix-1.0-regressor,autogluon/tabpfn-mix-1.0-regressor,TabPFNMix
https://ai.gitcode.com/hf_mirrors/autogluon/tabpfn-mix-1.0-regressor,autogluon/tabpfn-mix-1.0-regressor,表格基础模型
https://ai.gitcode.com/hf_mirrors/autogluon/tabpfn-mix-1.0-regressor,autogluon/tabpfn-mix-1.0-regressor,Tabular-Regression
https://ai.gitcode.com/hf_mirrors/autogluon/tabpfn-mix-1.0-regressor,autogluon/tabpfn-mix-1.0-regressor,编码器-解码器架构
https://ai.gitcode.com/hf_mirrors/autogluon/tabpfn-mix-1.0-regressor,autogluon/tabpfn-mix-1.0-regressor,AutoGluon
https://ai.gitcode.com/hf_mirrors/autogluon/tabpfn-mix-1.0-regressor,autogluon/tabpfn-mix-1.0-regressor,3700万参数
https://ai.gitcode.com/hf_mirrors/pcoloc/autotrain-dragino-7-7-max_495m-1860863627,pcoloc/autotrain-dragino-7-7-max_495m-1860863627,AutoTrain
https://ai.gitcode.com/hf_mirrors/pcoloc/autotrain-dragino-7-7-max_495m-1860863627,pcoloc/autotrain-dragino-7-7-max_495m-1860863627,tabular
https://ai.gitcode.com/hf_mirrors/pcoloc/autotrain-dragino-7-7-max_495m-1860863627,pcoloc/autotrain-dragino-7-7-max_495m-1860863627,regression
https://ai.gitcode.com/hf_mirrors/pcoloc/autotrain-dragino-7-7-max_495m-1860863627,pcoloc/autotrain-dragino-7-7-max_495m-1860863627,Joblib
https://ai.gitcode.com/hf_mirrors/pcoloc/autotrain-dragino-7-7-max_495m-1860863627,pcoloc/autotrain-dragino-7-7-max_495m-1860863627,pcolocautotrain-dragino-7-7-max495m
https://ai.gitcode.com/hf_mirrors/TIGER-Lab/VideoScore-v1.1,TIGER-Lab/VideoScore-v1.1,VideoScore
https://ai.gitcode.com/hf_mirrors/TIGER-Lab/VideoScore-v1.1,TIGER-Lab/VideoScore-v1.1,VideoScore-v1.1
https://ai.gitcode.com/hf_mirrors/TIGER-Lab/VideoScore-v1.1,TIGER-Lab/VideoScore-v1.1,视频质量评估
https://ai.gitcode.com/hf_mirrors/TIGER-Lab/VideoScore-v1.1,TIGER-Lab/VideoScore-v1.1,文本-视频对齐
https://ai.gitcode.com/hf_mirrors/TIGER-Lab/VideoScore-v1.1,TIGER-Lab/VideoScore-v1.1,多模态评估
https://ai.gitcode.com/hf_mirrors/TIGER-Lab/VideoScore-v1.1,TIGER-Lab/VideoScore-v1.1,48帧推理
https://ai.gitcode.com/hf_mirrors/TIGER-Lab/VideoScore-v1.1,TIGER-Lab/VideoScore-v1.1,回归版本模型
https://ai.gitcode.com/hf_mirrors/openbmb/MiniCPM-V,openbmb/MiniCPM-V,MiniCPM-V
https://ai.gitcode.com/hf_mirrors/openbmb/MiniCPM-V,openbmb/MiniCPM-V,终端部署
https://ai.gitcode.com/hf_mirrors/openbmb/MiniCPM-V,openbmb/MiniCPM-V,中英双语交互
https://ai.gitcode.com/hf_mirrors/openbmb/MiniCPM-V,openbmb/MiniCPM-V,3B参数
https://ai.gitcode.com/hf_mirrors/openbmb/MiniCPM-V,openbmb/MiniCPM-V,实时视频理解
https://ai.gitcode.com/hf_mirrors/FreedomIntelligence/BlenderLLM,FreedomIntelligence/BlenderLLM,BlenderLLM
https://ai.gitcode.com/hf_mirrors/FreedomIntelligence/BlenderLLM,FreedomIntelligence/BlenderLLM,CAD
https://ai.gitcode.com/hf_mirrors/FreedomIntelligence/BlenderLLM,FreedomIntelligence/BlenderLLM,Text-to-3D
https://ai.gitcode.com/hf_mirrors/FreedomIntelligence/BlenderLLM,FreedomIntelligence/BlenderLLM,自我改进
https://ai.gitcode.com/hf_mirrors/FreedomIntelligence/BlenderLLM,FreedomIntelligence/BlenderLLM,Blender
https://ai.gitcode.com/hf_mirrors/city96/Wan2.1-I2V-14B-480P-gguf,city96/Wan2.1-I2V-14B-480P-gguf,Wan2.1
https://ai.gitcode.com/hf_mirrors/city96/Wan2.1-I2V-14B-480P-gguf,city96/Wan2.1-I2V-14B-480P-gguf,14B参数
https://ai.gitcode.com/hf_mirrors/city96/Wan2.1-I2V-14B-480P-gguf,city96/Wan2.1-I2V-14B-480P-gguf,文生视频
https://ai.gitcode.com/hf_mirrors/city96/Wan2.1-I2V-14B-480P-gguf,city96/Wan2.1-I2V-14B-480P-gguf,GGUF量化模型
https://ai.gitcode.com/hf_mirrors/naver/DUSt3R_ViTLarge_BaseDecoder_512_dpt,naver/DUSt3R_ViTLarge_BaseDecoder_512_dpt,naverDUSt3RViTLargeBaseDecoder512dpt
https://ai.gitcode.com/hf_mirrors/naver/DUSt3R_ViTLarge_BaseDecoder_512_dpt,naver/DUSt3R_ViTLarge_BaseDecoder_512_dpt,图像转3D
https://ai.gitcode.com/hf_mirrors/Falconsai/text_summarization,Falconsai/text_summarization,Falconsaitextsummarization
https://ai.gitcode.com/hf_mirrors/Falconsai/text_summarization,Falconsai/text_summarization,文本摘要
https://ai.gitcode.com/hf_mirrors/Falconsai/text_summarization,Falconsai/text_summarization,T5-Small
https://ai.gitcode.com/hf_mirrors/Falconsai/text_summarization,Falconsai/text_summarization,微调版
https://ai.gitcode.com/hf_mirrors/Falconsai/text_summarization,Falconsai/text_summarization,简洁连贯摘要
https://ai.gitcode.com/hf_mirrors/CuriousMonkey7/HumAware-VAD,CuriousMonkey7/HumAware-VAD,HumAware-VAD
https://ai.gitcode.com/hf_mirrors/CuriousMonkey7/HumAware-VAD,CuriousMonkey7/HumAware-VAD,语音活动检测
https://ai.gitcode.com/hf_mirrors/CuriousMonkey7/HumAware-VAD,CuriousMonkey7/HumAware-VAD,哼唱检测
https://ai.gitcode.com/hf_mirrors/CuriousMonkey7/HumAware-VAD,CuriousMonkey7/HumAware-VAD,语音分割
https://ai.gitcode.com/hf_mirrors/CuriousMonkey7/HumAware-VAD,CuriousMonkey7/HumAware-VAD,实时处理
https://ai.gitcode.com/hf_mirrors/CuriousMonkey7/HumAware-VAD,CuriousMonkey7/HumAware-VAD,VAD
https://ai.gitcode.com/hf_mirrors/BAAI/bge-reranker-v2-m3,BAAI/bge-reranker-v2-m3,bge-reranker-v2-m3
https://ai.gitcode.com/hf_mirrors/BAAI/bge-reranker-v2-m3,BAAI/bge-reranker-v2-m3,多语言重新排序器
https://ai.gitcode.com/hf_mirrors/BAAI/bge-reranker-v2-m3,BAAI/bge-reranker-v2-m3,文本相似度评分
https://ai.gitcode.com/hf_mirrors/BAAI/bge-reranker-v2-m3,BAAI/bge-reranker-v2-m3,轻量级部署
https://ai.gitcode.com/hf_mirrors/BAAI/bge-reranker-v2-m3,BAAI/bge-reranker-v2-m3,快速推理
https://ai.gitcode.com/hf_mirrors/BAAI/bge-reranker-v2-m3,BAAI/bge-reranker-v2-m3,跨语言检索
https://ai.gitcode.com/hf_mirrors/ServiceNow-AI/Apriel-1.5-15b-Thinker,ServiceNow-AI/Apriel-1.5-15b-Thinker,Apriel-1.5
https://ai.gitcode.com/hf_mirrors/ServiceNow-AI/Apriel-1.5-15b-Thinker,ServiceNow-AI/Apriel-1.5-15b-Thinker,15B参数
https://ai.gitcode.com/hf_mirrors/ServiceNow-AI/Apriel-1.5-15b-Thinker,ServiceNow-AI/Apriel-1.5-15b-Thinker,文本推理
https://ai.gitcode.com/hf_mirrors/ServiceNow-AI/Apriel-1.5-15b-Thinker,ServiceNow-AI/Apriel-1.5-15b-Thinker,图像推理
https://ai.gitcode.com/hf_mirrors/ServiceNow-AI/Apriel-1.5-15b-Thinker,ServiceNow-AI/Apriel-1.5-15b-Thinker,SFT
https://ai.gitcode.com/hf_mirrors/openbmb/MiniCPM-Llama3-V-2_5-int4,openbmb/MiniCPM-Llama3-V-2_5-int4,MiniCPM
https://ai.gitcode.com/hf_mirrors/openbmb/MiniCPM-Llama3-V-2_5-int4,openbmb/MiniCPM-Llama3-V-2_5-int4,int4量化
https://ai.gitcode.com/hf_mirrors/Wan-AI/Wan2.2-TI2V-5B,Wan-AI/Wan2.2-TI2V-5B,Wan2.2
https://ai.gitcode.com/hf_mirrors/Wan-AI/Wan2.2-TI2V-5B,Wan-AI/Wan2.2-TI2V-5B,图生视频
https://ai.gitcode.com/hf_mirrors/Wan-AI/Wan2.2-TI2V-5B,Wan-AI/Wan2.2-TI2V-5B,MoE架构
https://ai.gitcode.com/hf_mirrors/Wan-AI/Wan2.2-TI2V-5B,Wan-AI/Wan2.2-TI2V-5B,5B参数
https://ai.gitcode.com/hf_mirrors/nvidia/Cosmos-Reason1-7B,nvidia/Cosmos-Reason1-7B,Cosmos-Reason1
https://ai.gitcode.com/hf_mirrors/nvidia/Cosmos-Reason1-7B,nvidia/Cosmos-Reason1-7B,物理常识推理
https://ai.gitcode.com/hf_mirrors/nvidia/Cosmos-Reason1-7B,nvidia/Cosmos-Reason1-7B,具身推理
https://ai.gitcode.com/hf_mirrors/nvidia/Cosmos-Reason1-7B,nvidia/Cosmos-Reason1-7B,机器人规划
https://ai.gitcode.com/hf_mirrors/nvidia/Cosmos-Reason1-7B,nvidia/Cosmos-Reason1-7B,空间时间理解
https://ai.gitcode.com/hf_mirrors/THUDM/SWE-Dev-9B,THUDM/SWE-Dev-9B,SWE-Dev-9B
https://ai.gitcode.com/hf_mirrors/THUDM/SWE-Dev-9B,THUDM/SWE-Dev-9B,智谱AI
https://ai.gitcode.com/hf_mirrors/THUDM/SWE-Dev-9B,THUDM/SWE-Dev-9B,软件工程助手
https://ai.gitcode.com/hf_mirrors/THUDM/SWE-Dev-9B,THUDM/SWE-Dev-9B,测试用例生成
https://ai.gitcode.com/hf_mirrors/THUDM/SWE-Dev-9B,THUDM/SWE-Dev-9B,9B参数
https://ai.gitcode.com/hf_mirrors/THUDM/SWE-Dev-9B,THUDM/SWE-Dev-9B,强化微调
https://ai.gitcode.com/hf_mirrors/THUDM/SWE-Dev-9B,THUDM/SWE-Dev-9B,OpenHands
https://ai.gitcode.com/hf_mirrors/sshleifer/distilbart-xsum-12-6,sshleifer/distilbart-xsum-12-6,distilbart-xsum-12-6
https://ai.gitcode.com/hf_mirrors/sshleifer/distilbart-xsum-12-6,sshleifer/distilbart-xsum-12-6,轻量级摘要模型
https://ai.gitcode.com/hf_mirrors/sshleifer/distilbart-xsum-12-6,sshleifer/distilbart-xsum-12-6,XSum
https://ai.gitcode.com/hf_mirrors/sshleifer/distilbart-xsum-12-6,sshleifer/distilbart-xsum-12-6,模型压缩
https://ai.gitcode.com/hf_mirrors/BAAI/bge-base-en-v1.5,BAAI/bge-base-en-v1.5,BGE-base
https://ai.gitcode.com/hf_mirrors/BAAI/bge-base-en-v1.5,BAAI/bge-base-en-v1.5,英文检索
https://ai.gitcode.com/hf_mirrors/BAAI/bge-base-en-v1.5,BAAI/bge-base-en-v1.5,密集检索
https://ai.gitcode.com/hf_mirrors/BAAI/bge-base-en-v1.5,BAAI/bge-base-en-v1.5,Embedding模型
https://ai.gitcode.com/hf_mirrors/lmms-lab/LLaVA-NeXT-Video-7B-DPO,lmms-lab/LLaVA-NeXT-Video-7B-DPO,LLaVA-NeXT-Video
https://ai.gitcode.com/hf_mirrors/lmms-lab/LLaVA-NeXT-Video-7B-DPO,lmms-lab/LLaVA-NeXT-Video-7B-DPO,多模态指令跟随
https://ai.gitcode.com/hf_mirrors/lmms-lab/LLaVA-NeXT-Video-7B-DPO,lmms-lab/LLaVA-NeXT-Video-7B-DPO,视频文本理解
https://ai.gitcode.com/hf_mirrors/lmms-lab/LLaVA-NeXT-Video-7B-DPO,lmms-lab/LLaVA-NeXT-Video-7B-DPO,开源聊天机器人
https://ai.gitcode.com/hf_mirrors/lmms-lab/LLaVA-NeXT-Video-7B-DPO,lmms-lab/LLaVA-NeXT-Video-7B-DPO,Video-Text-to-Text
https://ai.gitcode.com/hf_mirrors/lmms-lab/LLaVA-NeXT-Video-7B-DPO,lmms-lab/LLaVA-NeXT-Video-7B-DPO,VQA任务
https://ai.gitcode.com/hf_mirrors/reducto/RolmOCR,reducto/RolmOCR,RolmOCR
https://ai.gitcode.com/hf_mirrors/reducto/RolmOCR,reducto/RolmOCR,文档OCR
https://ai.gitcode.com/hf_mirrors/reducto/RolmOCR,reducto/RolmOCR,PDF解析
https://ai.gitcode.com/hf_mirrors/reducto/RolmOCR,reducto/RolmOCR,vLLM部署
https://ai.gitcode.com/hf_mirrors/reducto/RolmOCR,reducto/RolmOCR,OpenAI兼容API
https://ai.gitcode.com/hf_mirrors/reducto/RolmOCR,reducto/RolmOCR,旋转增强
https://ai.gitcode.com/hf_mirrors/THUDM/GLM-4-32B-0414,THUDM/GLM-4-32B-0414,32B参数
https://ai.gitcode.com/hf_mirrors/THUDM/GLM-4-32B-0414,THUDM/GLM-4-32B-0414,深度推理
https://ai.gitcode.com/hf_mirrors/BAAI/bge-small-en-v1.5,BAAI/bge-small-en-v1.5,BAAIbge-small-en-v1.5
https://ai.gitcode.com/hf_mirrors/BAAI/bge-small-en-v1.5,BAAI/bge-small-en-v1.5,检索增强
https://ai.gitcode.com/hf_mirrors/BAAI/bge-small-en-v1.5,BAAI/bge-small-en-v1.5,重排序模型
https://ai.gitcode.com/hf_mirrors/BAAI/bge-small-en-v1.5,BAAI/bge-small-en-v1.5,sentence-similarity
https://ai.gitcode.com/hf_mirrors/BAAI/bge-small-en-v1.5,BAAI/bge-small-en-v1.5,feature-extraction
https://ai.gitcode.com/hf_mirrors/THUDM/GLM-Z1-32B-0414,THUDM/GLM-Z1-32B-0414,GLM-4
https://ai.gitcode.com/hf_mirrors/THUDM/GLM-Z1-32B-0414,THUDM/GLM-Z1-32B-0414,深度推理模型
https://ai.gitcode.com/hf_mirrors/THUDM/GLM-Z1-32B-0414,THUDM/GLM-Z1-32B-0414,反刍能力
https://ai.gitcode.com/hf_mirrors/THUDM/GLM-Z1-32B-0414,THUDM/GLM-Z1-32B-0414,函数调用
https://ai.gitcode.com/hf_mirrors/THUDM/GLM-Z1-32B-0414,THUDM/GLM-Z1-32B-0414,工程代码
https://ai.gitcode.com/hf_mirrors/diffusers/stable-diffusion-xl-1.0-inpainting-0.1,diffusers/stable-diffusion-xl-1.0-inpainting-0.1,SD-XL
https://ai.gitcode.com/hf_mirrors/diffusers/stable-diffusion-xl-1.0-inpainting-0.1,diffusers/stable-diffusion-xl-1.0-inpainting-0.1,图像修复
https://ai.gitcode.com/hf_mirrors/diffusers/stable-diffusion-xl-1.0-inpainting-0.1,diffusers/stable-diffusion-xl-1.0-inpainting-0.1,Diffusers
https://ai.gitcode.com/hf_mirrors/diffusers/stable-diffusion-xl-1.0-inpainting-0.1,diffusers/stable-diffusion-xl-1.0-inpainting-0.1,stable-diffusion-xl-diffusers
https://ai.gitcode.com/hf_mirrors/diffusers/stable-diffusion-xl-1.0-inpainting-0.1,diffusers/stable-diffusion-xl-1.0-inpainting-0.1,inpainting
https://ai.gitcode.com/hf_mirrors/diffusers/stable-diffusion-xl-1.0-inpainting-0.1,diffusers/stable-diffusion-xl-1.0-inpainting-0.1,无分类器指导采样
https://ai.gitcode.com/hf_mirrors/zai-org/GLM-4.5V,zai-org/GLM-4.5V,GUI智能体
https://ai.gitcode.com/hf_mirrors/zai-org/GLM-4.5V,zai-org/GLM-4.5V,API调用
https://ai.gitcode.com/hf_mirrors/zai-org/GLM-4.5V,zai-org/GLM-4.5V,1060亿参数
