项目链接,项目名称,高亮词
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,InternLM大模型
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,235B-MoE架构
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,FP8量化
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,科学计算大模型
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,5T-token预训练
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,Transformers部署
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,FLUX.1大模型
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,SVDQuant量化
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,文本生成图像
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,ComfyUI部署
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,INT4量化推理
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,Diffusers库
https://gitcode.com/hf_mirrors/zai-org/GLM-4.5V,zai-org/GLM-4.5V,GLM大模型
https://gitcode.com/hf_mirrors/zai-org/GLM-4.5V,zai-org/GLM-4.5V,多模态推理
https://gitcode.com/hf_mirrors/zai-org/GLM-4.5V,zai-org/GLM-4.5V,图像理解
https://gitcode.com/hf_mirrors/zai-org/GLM-4.5V,zai-org/GLM-4.5V,GUI智能体
https://gitcode.com/hf_mirrors/zai-org/GLM-4.5V,zai-org/GLM-4.5V,106B参数
https://gitcode.com/mirrors/sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,Sentence-Transformer大模型
https://gitcode.com/mirrors/sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,384维向量编码
https://gitcode.com/mirrors/sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,语义搜索
https://gitcode.com/mirrors/sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,Ollama部署
https://gitcode.com/mirrors/sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,22M参数
https://gitcode.com/mirrors/sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,代码语义检索
https://gitcode.com/hf_mirrors/tencent/HunyuanVideo-Foley,tencent/HunyuanVideo-Foley,HunyuanVideo大模型
https://gitcode.com/hf_mirrors/tencent/HunyuanVideo-Foley,tencent/HunyuanVideo-Foley,AI视频音效生成
https://gitcode.com/hf_mirrors/tencent/HunyuanVideo-Foley,tencent/HunyuanVideo-Foley,多模态视频理解
https://gitcode.com/hf_mirrors/tencent/HunyuanVideo-Foley,tencent/HunyuanVideo-Foley,短视频自动化处理
https://gitcode.com/hf_mirrors/tencent/HunyuanVideo-Foley,tencent/HunyuanVideo-Foley,腾讯混元大模型
https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V3.1,deepseek-ai/DeepSeek-V3.1,DeepSeek大模型
https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V3.1,deepseek-ai/DeepSeek-V3.1,128K上下文
https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V3.1,deepseek-ai/DeepSeek-V3.1,671B参数
https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V3.1,deepseek-ai/DeepSeek-V3.1,智能体工具调用
https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V3.1,deepseek-ai/DeepSeek-V3.1,代码编程
https://gitcode.com/hf_mirrors/stepfun-ai/NextStep-1-Large,stepfun-ai/NextStep-1-Large,NextStep大模型
https://gitcode.com/hf_mirrors/stepfun-ai/NextStep-1-Large,stepfun-ai/NextStep-1-Large,自回归图像生成
https://gitcode.com/hf_mirrors/stepfun-ai/NextStep-1-Large,stepfun-ai/NextStep-1-Large,文本到图像生成
https://gitcode.com/hf_mirrors/stepfun-ai/NextStep-1-Large,stepfun-ai/NextStep-1-Large,14B参数
https://gitcode.com/hf_mirrors/stepfun-ai/NextStep-1-Large,stepfun-ai/NextStep-1-Large,连续令牌建模
https://gitcode.com/hf_mirrors/stepfun-ai/NextStep-1-Large,stepfun-ai/NextStep-1-Large,高保真图像合成
https://gitcode.com/hf_mirrors/unsloth/grok-2,unsloth/grok-2,Grok大模型
https://gitcode.com/hf_mirrors/unsloth/grok-2,unsloth/grok-2,Tokenizers
https://gitcode.com/hf_mirrors/unsloth/grok-2,unsloth/grok-2,SGLang
https://gitcode.com/hf_mirrors/Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,Qwen大模型
https://gitcode.com/hf_mirrors/Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,7B参数
https://gitcode.com/hf_mirrors/Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,多模态视觉理解
https://gitcode.com/hf_mirrors/Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,长视频事件捕捉
https://gitcode.com/hf_mirrors/Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,视觉智能体推理
https://gitcode.com/hf_mirrors/Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,ViT窗口注意力
https://gitcode.com/hf_mirrors/Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,发票表单结构化输出
https://gitcode.com/hf_mirrors/jinaai/jina-embeddings-v4,jinaai/jina-embeddings-v4,Jina大模型
https://gitcode.com/hf_mirrors/jinaai/jina-embeddings-v4,jinaai/jina-embeddings-v4,多模态检索
https://gitcode.com/hf_mirrors/jinaai/jina-embeddings-v4,jinaai/jina-embeddings-v4,多语言检索
https://gitcode.com/hf_mirrors/jinaai/jina-embeddings-v4,jinaai/jina-embeddings-v4,FlashAttention2
https://gitcode.com/hf_mirrors/jinaai/jina-embeddings-v4,jinaai/jina-embeddings-v4,2048维稠密嵌入
https://gitcode.com/hf_mirrors/mistralai/Mistral-Small-3.2-24B-Instruct-2506,mistralai/Mistral-Small-3.2-24B-Instruct-2506,Mistral大模型
https://gitcode.com/hf_mirrors/mistralai/Mistral-Small-3.2-24B-Instruct-2506,mistralai/Mistral-Small-3.2-24B-Instruct-2506,Transformer架构
https://gitcode.com/hf_mirrors/mistralai/Mistral-Small-3.2-24B-Instruct-2506,mistralai/Mistral-Small-3.2-24B-Instruct-2506,指令遵循
https://gitcode.com/hf_mirrors/mistralai/Mistral-Small-3.2-24B-Instruct-2506,mistralai/Mistral-Small-3.2-24B-Instruct-2506,函数调用支持
https://gitcode.com/hf_mirrors/mistralai/Mistral-Small-3.2-24B-Instruct-2506,mistralai/Mistral-Small-3.2-24B-Instruct-2506,24B参数
https://gitcode.com/hf_mirrors/mistralai/Mistral-Small-3.2-24B-Instruct-2506,mistralai/Mistral-Small-3.2-24B-Instruct-2506,多语言文本处理
https://gitcode.com/hf_mirrors/t-tech/T-one,t-tech/T-one,T-one大模型
https://gitcode.com/hf_mirrors/t-tech/T-one,t-tech/T-one,流式Conformer架构
https://gitcode.com/hf_mirrors/t-tech/T-one,t-tech/T-one,低延迟电话语音识别
https://gitcode.com/hf_mirrors/t-tech/T-one,t-tech/T-one,Triton-Inference-Server部署
https://gitcode.com/hf_mirrors/t-tech/T-one,t-tech/T-one,KenLM-CTC束搜索解码器
https://gitcode.com/hf_mirrors/t-tech/T-one,t-tech/T-one,71M参数模型
https://gitcode.com/hf_mirrors/baidu/ERNIE-4.5-VL-424B-A47B-PT,baidu/ERNIE-4.5-VL-424B-A47B-PT,ERNIE大模型
https://gitcode.com/hf_mirrors/baidu/ERNIE-4.5-VL-424B-A47B-PT,baidu/ERNIE-4.5-VL-424B-A47B-PT,4比特量化
https://gitcode.com/hf_mirrors/nvidia/canary-qwen-2.5b,nvidia/canary-qwen-2.5b,NVIDIA大模型
https://gitcode.com/hf_mirrors/nvidia/canary-qwen-2.5b,nvidia/canary-qwen-2.5b,英语语音转文本
https://gitcode.com/hf_mirrors/nvidia/canary-qwen-2.5b,nvidia/canary-qwen-2.5b,转录后处理
https://gitcode.com/hf_mirrors/nvidia/canary-qwen-2.5b,nvidia/canary-qwen-2.5b,25亿参数
https://gitcode.com/hf_mirrors/nvidia/canary-qwen-2.5b,nvidia/canary-qwen-2.5b,自动语音识别
https://gitcode.com/hf_mirrors/LiquidAI/LFM2-700M-GGUF,LiquidAI/LFM2-700M-GGUF,LiquidAI大模型
https://gitcode.com/hf_mirrors/LiquidAI/LFM2-700M-GGUF,LiquidAI/LFM2-700M-GGUF,GGUF格式
https://gitcode.com/hf_mirrors/LiquidAI/LFM2-700M-GGUF,LiquidAI/LFM2-700M-GGUF,llama.cpp部署
https://gitcode.com/hf_mirrors/LiquidAI/LFM2-700M-GGUF,LiquidAI/LFM2-700M-GGUF,8语言支持
https://gitcode.com/hf_mirrors/LiquidAI/LFM2-700M-GGUF,LiquidAI/LFM2-700M-GGUF,边缘人工智能
https://gitcode.com/hf_mirrors/LiquidAI/LFM2-1.2B,LiquidAI/LFM2-1.2B,混合液态模型架构
https://gitcode.com/hf_mirrors/LiquidAI/LFM2-1.2B,LiquidAI/LFM2-1.2B,1.2B参数
https://gitcode.com/hf_mirrors/LiquidAI/LFM2-1.2B,LiquidAI/LFM2-1.2B,多轮对话场景
