项目链接,项目名称,高亮词
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,InternLM大模型
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,235B-MoE架构
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,多模态推理
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,科学计算
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,FP8量化
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,Transformers
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,化学结构解析
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,FLUX.1大模型
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,SVDQuant
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,文本生成图像
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,Diffusers
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,ComfyUI
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,INT4量化
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,NVFP4
https://gitcode.com/hf_mirrors/zai-org/GLM-4.5V,zai-org/GLM-4.5V,GLM大模型
https://gitcode.com/hf_mirrors/zai-org/GLM-4.5V,zai-org/GLM-4.5V,GUI智能体
https://gitcode.com/hf_mirrors/zai-org/GLM-4.5V,zai-org/GLM-4.5V,106B参数
https://gitcode.com/hf_mirrors/zai-org/GLM-4.5V,zai-org/GLM-4.5V,长文档解析
https://gitcode.com/hf_mirrors/zai-org/GLM-4.5V,zai-org/GLM-4.5V,思维链
https://gitcode.com/hf_mirrors/zai-org/GLM-4.5V,zai-org/GLM-4.5V,视频理解
https://gitcode.com/mirrors/sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,MiniLLMs大模型
https://gitcode.com/mirrors/sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,微信开发
https://gitcode.com/mirrors/sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,Java-SDK
https://gitcode.com/mirrors/sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,轻量ORM
https://gitcode.com/mirrors/sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,算法
https://gitcode.com/mirrors/sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,数据结构
https://gitcode.com/hf_mirrors/tencent/HunyuanVideo-Foley,tencent/HunyuanVideo-Foley,腾讯大模型
https://gitcode.com/hf_mirrors/tencent/HunyuanVideo-Foley,tencent/HunyuanVideo-Foley,视频音效生成
https://gitcode.com/hf_mirrors/tencent/HunyuanVideo-Foley,tencent/HunyuanVideo-Foley,音频处理
https://gitcode.com/hf_mirrors/tencent/HunyuanVideo-Foley,tencent/HunyuanVideo-Foley,视频处理
https://gitcode.com/hf_mirrors/tencent/HunyuanVideo-Foley,tencent/HunyuanVideo-Foley,Foley
