项目链接,项目名称,高亮词
https://gitcode.com/hf_mirrors/deepseek-ai/JanusFlow-1.3B,deepseek-ai/JanusFlow-1.3B,JanusFlow大模型
https://gitcode.com/hf_mirrors/deepseek-ai/JanusFlow-1.3B,deepseek-ai/JanusFlow-1.3B,自回归与修正流
https://gitcode.com/hf_mirrors/deepseek-ai/JanusFlow-1.3B,deepseek-ai/JanusFlow-1.3B,多模态理解
https://gitcode.com/hf_mirrors/deepseek-ai/JanusFlow-1.3B,deepseek-ai/JanusFlow-1.3B,图像生成
https://gitcode.com/hf_mirrors/deepseek-ai/JanusFlow-1.3B,deepseek-ai/JanusFlow-1.3B,1.3B参数
https://gitcode.com/hf_mirrors/deepseek-ai/JanusFlow-1.3B,deepseek-ai/JanusFlow-1.3B,SigLIP-L
https://gitcode.com/hf_mirrors/deepseek-ai/JanusFlow-1.3B,deepseek-ai/JanusFlow-1.3B,SDXL-VAE
https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,DeepSeek大模型
https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,定理证明
https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,合成数据生成
https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,数学竞赛问题
https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,Lean-4
https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,科学计算
https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,deepseek-ai/DeepSeek-V2.5,Transformer架构
https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,deepseek-ai/DeepSeek-V2.5,文本生成
https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,deepseek-ai/DeepSeek-V2.5,代码编程
https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,deepseek-ai/DeepSeek-V2.5,Transformers库集成
https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,deepseek-ai/DeepSeek-V2.5,高MT-Bench得分
https://gitcode.com/hf_mirrors/microsoft/deberta-v3-large,microsoft/deberta-v3-large,DeBERTa-v3-large大模型
https://gitcode.com/hf_mirrors/microsoft/deberta-v3-large,microsoft/deberta-v3-large,解耦注意力机制
https://gitcode.com/hf_mirrors/microsoft/deberta-v3-large,microsoft/deberta-v3-large,ELECTRA风格预训练
https://gitcode.com/hf_mirrors/microsoft/deberta-v3-large,microsoft/deberta-v3-large,Transformers部署
https://gitcode.com/hf_mirrors/microsoft/deberta-v3-large,microsoft/deberta-v3-large,3.04B参数
https://gitcode.com/hf_mirrors/microsoft/deberta-v3-large,microsoft/deberta-v3-large,文本理解
https://gitcode.com/hf_mirrors/microsoft/deberta-v3-large,microsoft/deberta-v3-large,128K词汇表
https://gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,Janus-Pro大模型
https://gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,多模态理解与生成
https://gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,1.5B参数
https://gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,多模态模型
https://gitcode.com/hf_mirrors/keras-io/TF_Decision_Trees,keras-io/TF_Decision_Trees,TensorFlow大模型
https://gitcode.com/hf_mirrors/keras-io/TF_Decision_Trees,keras-io/TF_Decision_Trees,梯度提升树
https://gitcode.com/hf_mirrors/keras-io/TF_Decision_Trees,keras-io/TF_Decision_Trees,决策森林
https://gitcode.com/hf_mirrors/keras-io/TF_Decision_Trees,keras-io/TF_Decision_Trees,tabular-classification
https://gitcode.com/hf_mirrors/keras-io/TF_Decision_Trees,keras-io/TF_Decision_Trees,Keras预处理层
https://gitcode.com/hf_mirrors/keras-io/TF_Decision_Trees,keras-io/TF_Decision_Trees,结构化数据分类
https://gitcode.com/hf_mirrors/google/pegasus-xsum,google/pegasus-xsum,Pegasus大模型
https://gitcode.com/hf_mirrors/google/pegasus-xsum,google/pegasus-xsum,Transformer
https://gitcode.com/hf_mirrors/google/pegasus-xsum,google/pegasus-xsum,文本摘要
https://gitcode.com/hf_mirrors/google/pegasus-xsum,google/pegasus-xsum,Transformers
https://gitcode.com/hf_mirrors/google/pegasus-xsum,google/pegasus-xsum,新闻摘要生成
https://gitcode.com/hf_mirrors/google/pegasus-xsum,google/pegasus-xsum,PyTorch
https://gitcode.com/hf_mirrors/Kwaipilot/KwaiCoder-AutoThink-preview,Kwaipilot/KwaiCoder-AutoThink-preview,Kwaipilot大模型
https://gitcode.com/hf_mirrors/Kwaipilot/KwaiCoder-AutoThink-preview,Kwaipilot/KwaiCoder-AutoThink-preview,Auto-Think自动思考
https://gitcode.com/hf_mirrors/Kwaipilot/KwaiCoder-AutoThink-preview,Kwaipilot/KwaiCoder-AutoThink-preview,StepSRPO分步序列强化学习
https://gitcode.com/hf_mirrors/Falconsai/text_summarization,Falconsai/text_summarization,T5-Small大模型
https://gitcode.com/hf_mirrors/Falconsai/text_summarization,Falconsai/text_summarization,文档摘要
