项目链接,项目名称,高亮词
https://ai.gitcode.com/openMind/GOT-OCR2_0,openMind/GOT-OCR2_0,GOT-OCR20
https://ai.gitcode.com/openMind/GOT-OCR2_0,openMind/GOT-OCR2_0,通用OCR
https://ai.gitcode.com/openMind/GOT-OCR2_0,openMind/GOT-OCR2_0,端到端OCR
https://ai.gitcode.com/openMind/GOT-OCR2_0,openMind/GOT-OCR2_0,多模态OCR
https://ai.gitcode.com/openMind/GOT-OCR2_0,openMind/GOT-OCR2_0,HuggingFace部署
https://ai.gitcode.com/openMind/GOT-OCR2_0,openMind/GOT-OCR2_0,OCR-2.0
https://ai.gitcode.com/openMind/GOT-OCR2_0,openMind/GOT-OCR2_0,本地部署
https://ai.gitcode.com/yanfan/yuijh,yanfan/yuijh,通义千问
https://ai.gitcode.com/yanfan/yuijh,yanfan/yuijh,阿里大模型
https://ai.gitcode.com/yanfan/yuijh,yanfan/yuijh,7B参数
https://ai.gitcode.com/yanfan/yuijh,yanfan/yuijh,编程助手
https://ai.gitcode.com/yanfan/yuijh,yanfan/yuijh,代码生成
https://ai.gitcode.com/yanfan/yuijh,yanfan/yuijh,代码修复
https://ai.gitcode.com/yanfan/yuijh,yanfan/yuijh,Transformer
https://ai.gitcode.com/yanfan/yuijh,yanfan/yuijh,长上下文
https://ai.gitcode.com/openMind/yolov10x,openMind/yolov10x,YOLOv10x
https://ai.gitcode.com/openMind/yolov10x,openMind/yolov10x,实时目标检测
https://ai.gitcode.com/openMind/yolov10x,openMind/yolov10x,端到端检测
https://ai.gitcode.com/openMind/yolov10x,openMind/yolov10x,对象检测
https://ai.gitcode.com/openMind/yolov10x,openMind/yolov10x,Ultralytics部署
https://ai.gitcode.com/openMind/yolov10x,openMind/yolov10x,模型推送Hub
https://ai.gitcode.com/openMind/Wan2.1-T2V-14B-Diffusers,openMind/Wan2.1-T2V-14B-Diffusers,Wan2.1
https://ai.gitcode.com/openMind/Wan2.1-T2V-14B-Diffusers,openMind/Wan2.1-T2V-14B-Diffusers,文生视频
https://ai.gitcode.com/openMind/Wan2.1-T2V-14B-Diffusers,openMind/Wan2.1-T2V-14B-Diffusers,14B参数
https://ai.gitcode.com/openMind/Wan2.1-T2V-14B-Diffusers,openMind/Wan2.1-T2V-14B-Diffusers,Diffusers
https://ai.gitcode.com/openMind/Wan2.1-T2V-14B-Diffusers,openMind/Wan2.1-T2V-14B-Diffusers,开源视频模型
https://ai.gitcode.com/openMind/Wan2.1-T2V-14B-Diffusers,openMind/Wan2.1-T2V-14B-Diffusers,HuggingFace
https://ai.gitcode.com/yanfan/tx467,yanfan/tx467,32B参数
https://ai.gitcode.com/yanfan/tx467,yanfan/tx467,智能对话
https://ai.gitcode.com/yanfan/tx467,yanfan/tx467,量化模型
https://ai.gitcode.com/yanfan/tx467,yanfan/tx467,长文本生成
https://ai.gitcode.com/yanfan/yuxp1,yanfan/yuxp1,Qwen2.5-Coder-7B
https://ai.gitcode.com/yanfan/yuxp1,yanfan/yuxp1,代码推理
https://ai.gitcode.com/yanfan/yuxp1,yanfan/yuxp1,因果语言模型
https://ai.gitcode.com/yanfan/yuxp1,yanfan/yuxp1,Transformer结构
https://ai.gitcode.com/tencent_hunyuan/Tencent-Hunyuan-Large,tencent_hunyuan/Tencent-Hunyuan-Large,混元
https://ai.gitcode.com/tencent_hunyuan/Tencent-Hunyuan-Large,tencent_hunyuan/Tencent-Hunyuan-Large,腾讯大模型
https://ai.gitcode.com/tencent_hunyuan/Tencent-Hunyuan-Large,tencent_hunyuan/Tencent-Hunyuan-Large,AI写作
https://ai.gitcode.com/tencent_hunyuan/Tencent-Hunyuan-Large,tencent_hunyuan/Tencent-Hunyuan-Large,PyTorch
https://ai.gitcode.com/yanfan/uytyb,yanfan/uytyb,Meissonic
https://ai.gitcode.com/yanfan/uytyb,yanfan/uytyb,文生图
https://ai.gitcode.com/yanfan/uytyb,yanfan/uytyb,高分辨率文生图
https://ai.gitcode.com/yanfan/uytyb,yanfan/uytyb,掩码Transformer
https://ai.gitcode.com/yanfan/uytyb,yanfan/uytyb,非自回归
https://ai.gitcode.com/tencent_hunyuan/HunyuanVideo-PromptRewrite,tencent_hunyuan/HunyuanVideo-PromptRewrite,提示词重写
https://ai.gitcode.com/tencent_hunyuan/HunyuanVideo-PromptRewrite,tencent_hunyuan/HunyuanVideo-PromptRewrite,3D-VAE
https://ai.gitcode.com/tencent_hunyuan/HunyuanVideo-PromptRewrite,tencent_hunyuan/HunyuanVideo-PromptRewrite,130亿参数
https://ai.gitcode.com/tencent_hunyuan/Hunyuan3D-1,tencent_hunyuan/Hunyuan3D-1,图像转3D
https://ai.gitcode.com/tencent_hunyuan/Hunyuan3D-1,tencent_hunyuan/Hunyuan3D-1,文本转3D
https://ai.gitcode.com/tencent_hunyuan/Hunyuan3D-1,tencent_hunyuan/Hunyuan3D-1,ComfyUI
https://ai.gitcode.com/tencent_hunyuan/Hunyuan3D-1,tencent_hunyuan/Hunyuan3D-1,扩散模型
https://ai.gitcode.com/yanfan/colpali,yanfan/colpali,ColPali
https://ai.gitcode.com/yanfan/colpali,yanfan/colpali,视觉检索
https://ai.gitcode.com/yanfan/colpali,yanfan/colpali,文档检索
https://ai.gitcode.com/yanfan/colpali,yanfan/colpali,多模态
https://ai.gitcode.com/yanfan/colpali,yanfan/colpali,ColBERT策略
https://ai.gitcode.com/yanfan/colpali,yanfan/colpali,3B参数
https://ai.gitcode.com/ModelEngine/Model-OpenSource-images,ModelEngine/Model-OpenSource-images,ModelEngine
https://ai.gitcode.com/ModelEngine/Model-OpenSource-images,ModelEngine/Model-OpenSource-images,AI训推全流程工具链
https://ai.gitcode.com/ModelEngine/Model-OpenSource-images,ModelEngine/Model-OpenSource-images,RAG框架
https://ai.gitcode.com/ModelEngine/Model-OpenSource-images,ModelEngine/Model-OpenSource-images,模型微调
https://ai.gitcode.com/ModelEngine/Model-OpenSource-images,ModelEngine/Model-OpenSource-images,低代码编排
